Make,Variant,Length,GeoRegion,CRS,Price,Year
Lagoon,380,38.0,Caribbean,Martinique,204921,2005
Lagoon,380,38.0,Caribbean,Guadeloupe,200071,2005
Lagoon,380,38.0,USA,Florida,219000,2005
Fountaine Pajot,Lavezzi 40,39.0,Caribbean,Mexico,210000,2005
Leopard,40,39.0,Caribbean,Panama,200000,2005
Nautitech,40,39.5,Europe,Croatia,188252,2005
Nautitech,40,39.5,Europe,Croatia,188131,2005
Lagoon,410,40.5,Caribbean,Grenada,225000,2005
Lagoon,410-S2,40.5,Europe,Spain,303395,2005
Lagoon,410-S2,40.5,Europe,Turkey,231042,2005
Lagoon,410,40.5,USA,Florida,235000,2005
Broadblue,415,42.0,Caribbean,Grenada,330000,2005
Manta,42 MK II,42.0,USA,Florida,269500,2005
Manta,42 MK II,42.0,USA,Florida,249900,2005
Manta,42 MK II,42.0,USA,Florida,249900,2005
Knysna,440,44.0,Caribbean,Grenada,230000,2005
Lagoon,440,44.6,Caribbean,Martinique,349833,2005
Lagoon,440,44.6,Caribbean,Martinique,349560,2005
Lagoon,440,44.6,USA,Georgia,379000,2005
Lagoon,440,44.6,USA,Florida,320000,2005
Lagoon,440,44.6,USA,Florida,320000,2005
Fountaine Pajot,Bahia 46,46.0,Caribbean,Martinique,255179,2005
Fountaine Pajot,Bahia 46,46.0,Caribbean,Martinique,254636,2005
Fountaine Pajot,Bahia 46,46.0,USA,Florida,229000,2005
Nautitech,47,47.0,Caribbean,Dominican Republic,266761,2005
Leopard,47,47.0,Caribbean,U.S. Virgin Islands,235000,2005
Fountaine Pajot,Athena 38,38.0,Europe,Croatia,163694,2006
Fountaine Pajot,Athena 38,38.0,Europe,Croatia,146864,2006
Fountaine Pajot,Athena 38,38.0,Europe,Croatia,146719,2006
Fountaine Pajot,Athena 38,38.0,Europe,Croatia,140188,2006
Fountaine Pajot,Athena 38,38.0,Europe,Croatia,133138,2006
Broadblue,385,38.7,Europe,Spain,223109,2006
Broadblue,385,38.7,Europe,United Kingdom,220542,2006
Broadblue,385,38.7,Europe,Spain,220475,2006
Broadblue,385,38.7,Europe,United Kingdom,219923,2006
Broadblue,385,38.7,Europe,Spain,219766,2006
Fountaine Pajot,Lavezzi 40,39.0,Europe,Greece,200642,2006
Fountaine Pajot,Lavezzi 40,39.0,Europe,Italy,188482,2006
Leopard,40,39.0,USA,Washington,239000,2006
Fountaine Pajot,Lavezzi 40,39.0,USA,Texas,219000,2006
Leopard,40,39.0,USA,Florida,215500,2006
Nautitech,40,39.5,Europe,Greece,217401,2006
Nautitech,40,39.5,Europe,Greece,217047,2006
Nautitech,40,39.5,Europe,Italy,206722,2006
Nautitech,40,39.5,Europe,Greece,206551,2006
Nautitech,40,39.5,Europe,Greece,206337,2006
Nautitech,40,39.5,Europe,Greece,192796,2006
Nautitech,40,39.5,Europe,Greece,191772,2006
Nautitech,402,40.0,USA,Florida,199990,2006
Lagoon,410-S2,40.6,Europe,Spain,302787,2006
Lagoon,420,41.0,Europe,Italy,358698,2006
Maine Cat,41,41.6,USA,New York,349000,2006
Manta,42 MK II,42.0,USA,Florida,269900,2006
Leopard,43,42.5,Europe,Italy,206708,2006
Fountaine Pajot,Belize 43,42.65,USA,Florida,275000,2006
Privilege,435,43.0,Caribbean,Guatemala,345100,2006
Privilege,435,43.0,Caribbean,Guatemala,344705,2006
Privilege,435,43.0,Caribbean,Mexico,344705,2006
Privilege,435,43.0,Caribbean,Mexico,315000,2006
Broadblue,435,43.6,Europe,Greece,267617,2006
Lagoon,440,44.6,Europe,Greece,325285,2006
Lagoon,440,44.6,Europe,Greece,321976,2006
Lagoon,440,44.6,Europe,Greece,321644,2006
Lagoon,440,44.6,Europe,Italy,309826,2006
Lagoon,440,44.6,Europe,Italy,309506,2006
Lagoon,440,44.6,Europe,Italy,303751,2006
Lagoon,440,44.6,Europe,Italy,303437,2006
Lagoon,440,44.6,Europe,Croatia,267301,2006
Lagoon,440,44.6,Europe,Croatia,267025,2006
Lagoon,440,44.6,Europe,Croatia,267025,2006
Lagoon,440,44.6,USA,Florida,349000,2006
Fountaine Pajot,Bahia 46,46.0,Caribbean,Martinique,346315,2006
Fountaine Pajot,Bahia 46,46.0,Caribbean,Martinique,345577,2006
Fountaine Pajot,Pajot Bahia 46,46.0,Europe,Italy,242939,2006
Fountaine Pajot,Bahia 46,46.0,Europe,Italy,242510,2006
Catana,47 Ocean Class,47.0,Caribbean,Guatemala,516769,2006
Leopard,47,47.0,Caribbean,Honduras,257061,2006
Nautitech,47,47.0,Europe,Greece,498026,2006
Nautitech,47,47.0,Europe,Greece,497637,2006
Lagoon,50 Owners Version,48.0,Caribbean,Martinique,450000,2006
Lagoon,50,48.0,Caribbean,British Virgin Islands,449000,2006
Lagoon,500,51.0,Europe,Spain,515334,2006
Lagoon,500,51.0,Europe,Greece,515334,2006
Lagoon,500,51.0,Europe,Greece,461585,2006
Lagoon,500,51.0,Europe,Greece,461225,2006
Lagoon,500,51.0,Europe,Greece,423929,2006
Lagoon,500,51.0,Europe,Greece,423599,2006
Lagoon,500,51.0,Europe,Greece,418330,2006
Lagoon,380 S2,38.0,USA,Maryland,226900,2007
Broadblue,385,38.7,Europe,Greece,202496,2007
Broadblue,385,38.7,Europe,United Kingdom,200493,2007
Lagoon,420,41.0,Europe,Germany,314925,2007
Fountaine Pajot,Orana 44,43.0,Caribbean,Puerto Rico,315000,2007
Fountaine Pajot,Orana 44,43.0,USA,Maryland,320000,2007
Knysna,440,44.0,Caribbean,Trinidad and Tobago,220000,2007
Lagoon,440,44.6,Caribbean,Martinique,376556,2007
Lagoon,440,44.6,Caribbean,Martinique,376262,2007
Lagoon,440,44.6,Caribbean,Netherlands Antilles,310000,2007
Lagoon,440,44.6,Europe,Spain,394877,2007
Lagoon,440,44.6,Europe,Spain,394469,2007
Lagoon,440,44.6,Europe,Spain,339729,2007
Lagoon,440,44.6,Europe,Spain,309506,2007
Lagoon,440,44.6,Europe,Greece,297676,2007
Lagoon,440,44.6,Europe,Greece,297369,2007
Lagoon,440,44.6,USA,Florida,349000,2007
Lagoon,440,44.6,USA,Maryland,310000,2007
Lagoon,440,44.6,USA,Florida,294000,2007
Nautitech,47,47.0,Europe,Greece,394469,2007
Fountaine Pajot,Salina 48,47.0,Europe,Turkey,345919,2007
Privilege,495,47.0,USA,Massachusetts,429900,2007
Lagoon,420,49.0,USA,Florida,435000,2007
Catana,50,50.0,Europe,France,703279,2007
Lagoon,500,51.0,Europe,Spain,594150,2007
Lagoon,500,51.0,Europe,Italy,497146,2007
Lagoon,570,56.0,Europe,France,705237,2007
Seawind,1160,38.0,Caribbean,Mexico,350000,2008
Lagoon,380 S2,38.0,Europe,Italy,236926,2008
Lagoon,380,38.0,Europe,Italy,236447,2008
Lagoon,380,38.0,USA,Florida,229000,2008
Broadblue,385,38.7,Europe,Greece,202496,2008
Broadblue,385,38.7,Europe,Greece,200071,2008
Broadblue,385,38.7,Europe,Greece,193332,2008
Nautitech,40.2,39.0,Caribbean,Martinique,216047,2008
Fountaine Pajot,Lavezzi 40,39.0,Caribbean,Cayman Islands,186733,2008
Leopard,40,39.0,Europe,France,273094,2008
Alliaura,Feeling 39 DI,39.0,Europe,France,218645,2008
Fountaine Pajot,Lavezzi 40,39.0,Europe,France,194562,2008
Fountaine Pajot,Lavezzi 40,39.0,Europe,France,194401,2008
Fountaine Pajot,Lavezzi 40,39.0,Europe,Greece,188278,2008
Fountaine Pajot,Lavezzi 40,39.0,Europe,Greece,187945,2008
Nautitech,40,39.5,Europe,Croatia,191772,2008
Lagoon,420,41.0,Caribbean,Guatemala,380000,2008
Lagoon,420,41.0,Caribbean,Martinique,338028,2008
Lagoon,420,41.0,Caribbean,Martinique,337640,2008
Lagoon,420,41.0,Caribbean,Cayman Islands,310061,2008
Lagoon,420,41.0,Caribbean,British Virgin Islands,309739,2008
Lagoon,420,41.0,Caribbean,Cayman Islands,309705,2008
Lagoon,420,41.0,Caribbean,British Virgin Islands,309079,2008
Lagoon,420,41.0,Caribbean,Cayman Islands,297902,2008
Lagoon,420,41.0,Caribbean,Cayman Islands,297560,2008
Lagoon,420,41.0,Europe,Greece,358335,2008
Lagoon,420,41.0,Europe,Greece,358056,2008
Lagoon,420,41.0,Europe,France,338900,2008
Lagoon,420,41.0,Europe,France,338636,2008
Lagoon,420,41.0,Europe,France,338028,2008
Lagoon,420,41.0,Europe,France,337640,2008
Lagoon,420,41.0,Europe,Spain,327968,2008
Lagoon,420,41.0,Europe,Spain,327712,2008
Lagoon,420,41.0,Europe,Greece,303982,2008
Lagoon,420,41.0,Europe,Greece,303633,2008
Lagoon,420,41.0,USA,Florida,396000,2008
Lagoon,420,41.0,USA,Maryland,389900,2008
Lagoon,420,41.0,USA,Florida,375000,2008
Lagoon,440,42.0,Europe,Italy,303982,2008
Lagoon,440,42.0,Europe,Italy,297902,2008
Manta,42 MK IV,42.0,USA,Florida,270000,2008
Manta,42 MK IV,42.0,USA,Florida,270000,2008
Fountaine Pajot,Orana 44,43.0,Caribbean,Saint-Martin,390827,2008
Fountaine Pajot,Orana 44,43.0,Caribbean,Guatemala,339000,2008
Fountaine Pajot,Orana 44,43.0,Caribbean,Martinique,309860,2008
Fountaine Pajot,Orana 44,43.0,Caribbean,Martinique,309506,2008
Fountaine Pajot,Orana 44,43.0,Europe,France,338636,2008
Fountaine Pajot,Orana 44,43.0,Europe,Greece,328300,2008
Fountaine Pajot,Orana 44,43.0,Europe,Greece,328300,2008
Fountaine Pajot,Orana 44,43.0,Europe,Greece,327968,2008
Fountaine Pajot,Orana 44,43.0,Europe,Turkey,285231,2008
Fountaine Pajot,Orana 44,43.0,Europe,Turkey,261424,2008
Nautitech,44,44.0,Europe,Greece,312493,2008
Lagoon,440,44.6,Caribbean,Guadeloupe,400537,2008
Lagoon,440,44.6,Caribbean,Guadeloupe,363194,2008
Lagoon,440,44.6,Caribbean,Guadeloupe,362911,2008
Lagoon,440,44.6,Caribbean,Dominican Republic,325000,2008
Lagoon,440,44.6,Caribbean,Mexico,303674,2008
Lagoon,440,44.6,Caribbean,Mexico,303437,2008
Lagoon,440,44.6,Europe,Spain,431327,2008
Lagoon,440,44.6,Europe,Spain,430881,2008
Lagoon,440,44.6,Europe,Italy,388400,2008
Lagoon,440,44.6,Europe,Turkey,388400,2008
Lagoon,440,44.6,Europe,Italy,388400,2008
Lagoon,440,44.6,Europe,France,376652,2008
Lagoon,440,44.6,Europe,France,376262,2008
Lagoon,440,44.6,Europe,Turkey,346276,2008
Lagoon,440,44.6,Europe,Turkey,345919,2008
Lagoon,440,44.6,Europe,Turkey,334126,2008
Lagoon,440,44.6,Europe,Turkey,333781,2008
Lagoon,440,44.6,Europe,Croatia,313471,2008
Lagoon,440,44.6,Europe,Croatia,313147,2008
Lagoon,440,44.6,USA,Maryland,359000,2008
Leopard,46,46.0,Caribbean,Martinique,299000,2008
Leopard,46,46.0,USA,Florida,449000,2008
Leopard,46,46.0,USA,Florida,385000,2008
Privilege,495,47.0,Caribbean,Martinique,449893,2008
Privilege,495,47.0,Caribbean,Martinique,449602,2008
Privilege,495,47.0,Caribbean,Martinique,386665,2008
Privilege,495,47.0,Caribbean,Martinique,386414,2008
Leopard,47,47.0,Caribbean,British Virgin Islands,115000,2008
Fountaine Pajot,Salina 48,47.0,Europe,Greece,503706,2008
Fountaine Pajot,Salina 48,47.0,Europe,Italy,418744,2008
Fountaine Pajot,Salina 48,47.0,Europe,Greece,376556,2008
Fountaine Pajot,Salina 48,47.0,Europe,Greece,376262,2008
Fountaine Pajot,Salina 48,47.0,Europe,Greece,346188,2008
Fountaine Pajot,Salina 48,47.0,Europe,Greece,345919,2008
Nautitech,47,47.0,Europe,Greece,339850,2008
Fountaine Pajot,Salina 48,47.0,Europe,Greece,333781,2008
Nautitech,47,47.0,Europe,Greece,318002,2008
Nautitech,47,47.0,Europe,Greece,309506,2008
Voyage Yachts,500,50.0,Caribbean,British Virgin Islands,479000,2008
Voyage Yachts,500,50.0,Caribbean,British Virgin Islands,465000,2008
Catana,50,50.0,Europe,France,709342,2008
Voyage Yachts,500,50.0,USA,Florida,365000,2008
Lagoon,500,51.0,Caribbean,Martinique,553247,2008
Lagoon,500,51.0,Europe,Italy,667562,2008
Lagoon,500,51.0,Europe,Greece,606875,2008
Lagoon,500,51.0,Europe,Portugal,546613,2008
Lagoon,500,51.0,Europe,Portugal,545648,2008
Lagoon,500,51.0,Europe,Lagos,521397,2008
Lagoon,500,51.0,Europe,Italy,412997,2008
Lagoon,500,51.0,Europe,Italy,412675,2008
Lagoon,500,51.0,Europe,Italy,411782,2008
Lagoon,500,51.0,Europe,Italy,411461,2008
Catana,50,53.0,Europe,Spain,632282,2008
Fountaine Pajot,Lavezzi 40,39.0,Caribbean,Guadeloupe,205124,2009
Nautitech,40.2,39.0,Caribbean,Martinique,194422,2009
Nautitech,40.2,39.0,Caribbean,Martinique,194200,2009
Fountaine Pajot,Lipari 41,40.0,Caribbean,Belize,194008,2009
Lagoon,420,41.0,USA,Florida,309000,2009
Lagoon,420,41.0,USA,Florida,280000,2009
Lagoon,420,41.0,USA,Florida,280000,2009
Broadblue,415,42.0,Europe,Spain,364170,2009
Broadblue,415,42.0,Europe,Spain,363802,2009
Fountaine Pajot,Orana 44,43.0,Caribbean,Saint-Martin,329000,2009
Fountaine Pajot,Orana 44,43.0,Caribbean,Antigua and Barbuda,327712,2009
Fountaine Pajot,Orana 44,43.0,USA,Florida,300000,2009
Lagoon,440,44.6,Europe,Croatia,435736,2009
Lagoon,440,44.6,Europe,Croatia,347755,2009
Lagoon,440,44.6,USA,Maryland,525000,2009
Leopard,46,46.0,Europe,Italy,339514,2009
Nautitech,47,47.0,Caribbean,Antigua and Barbuda,364000,2009
Fountaine Pajot,Salina 48,47.0,Caribbean,Martinique,314925,2009
Fountaine Pajot,Salina 48,47.0,Europe,Croatia,315454,2009
Lagoon,500,51.0,Europe,Greece,546187,2009
Lagoon,500,51.0,Europe,Greece,521912,2009
Lagoon,500,51.0,Europe,Greece,503208,2009
Lagoon,500,51.0,USA,Florida,425000,2009
Leopard,38,37.5,Caribbean,British Virgin Islands,185000,2010
Seawind,1160,38.0,USA,Florida,329950,2010
Fountaine Pajot,Lipari 41,39.0,Caribbean,Martinique,297709,2010
Fountaine Pajot,Lipari 41,39.0,Caribbean,Martinique,297369,2010
Lagoon,400 Owners Version,39.0,Caribbean,Belize,285000,2010
Lagoon,400,39.0,Caribbean,Netherlands Antilles,275000,2010
Lagoon,400,39.0,Caribbean,British Virgin Islands,195000,2010
Lagoon,400,39.0,Europe,Turkey,279380,2010
Lagoon,400,39.0,Europe,Turkey,279162,2010
Fountaine Pajot,Lipari 41,39.0,Europe,Portugal,278887,2010
Lagoon,400,39.0,Europe,Greece,267233,2010
Lagoon,400,39.0,Europe,Greece,267025,2010
Fountaine Pajot,Lipari 41,39.0,Europe,France,218882,2010
Lagoon,400,39.0,Europe,Croatia,217486,2010
Lagoon,400,39.0,Europe,Croatia,217261,2010
Fountaine Pajot,Lavezzi 40,39.0,Europe,France,205506,2010
Fountaine Pajot,Lavezzi 40,39.0,Europe,France,205284,2010
Lagoon,421,42.0,Europe,Turkey,437734,2010
Lagoon,421,42.0,Europe,Italy,327968,2010
Lagoon,421,42.0,Europe,Italy,327712,2010
Lagoon,421,42.0,Europe,Greece,285231,2010
Fountaine Pajot,Orana 44,43.0,USA,Florida,390000,2010
Nautitech,441,44.0,Caribbean,Martinique,346188,2010
Nautitech,441,44.0,Caribbean,Martinique,345919,2010
Nautitech,441,44.0,Caribbean,Martinique,291527,2010
Nautitech,441,44.0,Caribbean,Martinique,291300,2010
Nautitech,441,44.0,Caribbean,Martinique,282000,2010
Nautitech,441,44.0,Caribbean,Guadeloupe,269724,2010
Nautitech,442 Owners Version,44.0,Europe,Croatia,437734,2010
Nautitech,442 Owners Version,44.0,Europe,Croatia,437231,2010
Antares,44i,44.0,USA,Florida,525000,2010
Antares,44i,44.0,USA,Florida,495000,2010
Lagoon,440,44.6,Caribbean,Guadeloupe,380000,2010
Lagoon,440,44.6,Caribbean,Saint-Martin,345000,2010
Lagoon,440,44.6,Caribbean,Sint Maarten (Dutch part),345000,2010
Lagoon,440,44.6,Europe,Spain,424812,2010
Lagoon,440,45.8,Europe,France,479431,2010
Leopard,46,46.0,Caribbean,Saint-Martin,415000,2010
Leopard,46,46.0,Caribbean,Grenada,335000,2010
Catana,47,47.0,Caribbean,Martinique,546813,2010
Catana,47,47.0,Caribbean,Martinique,545648,2010
Chris White,Atlantic 48,48.7,USA,Washington,565000,2010
Outremer,49,49.0,Europe,France,763449,2010
Voyage Yachts,500 Owner's Version,50.0,USA,Florida,595000,2010
Lagoon,500,51.0,Europe,Croatia,721467,2010
Lagoon,500,51.0,Europe,Turkey,589128,2010
Lagoon,500,51.0,Europe,Turkey,588087,2010
Lagoon,500,51.0,Europe,Croatia,576531,2010
Lagoon,500,51.0,Europe,Croatia,575961,2010
Leopard,39,37.5,USA,Florida,339000,2011
Leopard,39,37.5,USA,Florida,339000,2011
Lagoon,380,38.0,Europe,Greece,236447,2011
Broadblue,385,38.7,Caribbean,Grenada,210000,2011
Fountaine Pajot,Lipari 41,39.0,Caribbean,Martinique,218725,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Italy,346563,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Malta,302787,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Turkey,267522,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Turkey,266761,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Turkey,266761,2011
Lagoon,400,39.0,Europe,Croatia,264804,2011
Lagoon,400,39.0,Europe,Croatia,264597,2011
Lagoon,400,39.0,Europe,Croatia,217486,2011
Lagoon,400,39.0,Europe,Croatia,217261,2011
Lagoon,400,39.0,Europe,Croatia,206095,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Croatia,194562,2011
Fountaine Pajot,Lipari 41,39.0,Europe,Croatia,169026,2011
Lagoon,421,42.0,Europe,Portugal,333781,2011
Lagoon,421,42.0,Europe,Italy,297902,2011
Leopard,44,42.5,Caribbean,U.S. Virgin Islands,339000,2011
Leopard,44,42.5,Caribbean,Saint Kitts and Nevis,339000,2011
Leopard,44,42.5,Caribbean,U.S. Virgin Islands,339000,2011
Leopard,44,42.5,Caribbean,Saint Kitts and Nevis,339000,2011
Lagoon,42 Owners Version,42.5,Europe,Portugal,325000,2011
Lagoon,42 Owners Version,42.5,Europe,Portugal,325000,2011
Leopard,44,42.5,USA,Florida,459000,2011
Leopard,44,42.5,USA,Florida,459000,2011
Fountaine Pajot,Orana 44,43.0,Europe,Turkey,339850,2011
Nautitech,441,44.0,Caribbean,Martinique,279162,2011
Nautitech,441,44.0,Caribbean,Guadeloupe,255086,2011
Nautitech,441,44.0,Caribbean,Guadeloupe,254887,2011
Lagoon,450,45.8,Caribbean,U.S. Virgin Islands,475000,2011
Lagoon,450,45.8,Europe,France,533522,2011
Lagoon,450,45.8,Europe,Greece,516246,2011
Lagoon,450,45.8,Europe,Greece,515844,2011
Lagoon,450,45.8,Europe,France,510725,2011
Lagoon,450,45.8,Europe,France,510302,2011
Lagoon,450,45.8,Europe,France,510172,2011
Lagoon,450,45.8,Europe,Malta,479431,2011
Lagoon,450,45.8,Europe,Greece,472895,2011
Lagoon,450F,45.8,Europe,Turkey,462084,2011
Lagoon,450,45.8,Europe,Greece,448644,2011
Lagoon,450,45.8,Europe,Greece,407335,2011
Lagoon,450,45.8,Europe,Italy,389097,2011
Lagoon,450F,45.8,USA,Florida,499000,2011
Lagoon,450F,45.8,USA,Florida,499000,2011
Leopard,46,46.0,Caribbean,British Virgin Islands,126000,2011
Leopard,46,46.0,USA,Florida,480000,2011
Fountaine Pajot,Salina 48,47.0,Caribbean,Panama,450000,2011
Outremer,49,49.0,Caribbean,Grenada,601884,2011
Outremer,49,49.0,Europe,France,812664,2011
Outremer,49,49.0,Europe,France,811999,2011
Lagoon,500,51.0,Caribbean,U.S. Virgin Islands,499000,2011
Lagoon,500,51.0,Caribbean,U.S. Virgin Islands,443813,2011
Lagoon,380,38.0,USA,New York,292000,2012
Lagoon,39,38.4,Europe,Italy,310061,2012
Fountaine Pajot,Lipari 41,39.0,Caribbean,Guatemala,315000,2012
Lagoon,400,39.0,Caribbean,Martinique,241298,2012
Lagoon,400,39.0,Caribbean,Martinique,237000,2012
Lagoon,400,39.0,Caribbean,Martinique,234000,2012
Lagoon,400,39.0,Europe,Portugal,315575,2012
Lagoon,400,39.0,Europe,Greece,291300,2012
Lagoon,400,39.0,Europe,Greece,279162,2012
Lagoon,400,39.0,Europe,Croatia,241786,2012
Lagoon,400,39.0,Europe,Croatia,241536,2012
Lagoon,400,39.0,Europe,Croatia,241536,2012
Lagoon,400,39.0,Europe,Sweden,236681,2012
Alliaura,Feeling 39 DI,39.0,Europe,Netherlands,229578,2012
Lagoon,400,39.0,Europe,Croatia,218639,2012
Lagoon,421,41.0,Europe,Italy,369828,2012
Leopard,44,42.5,Caribbean,British Virgin Islands,350000,2012
Leopard,44,42.5,Caribbean,British Virgin Islands,350000,2012
Leopard,44,42.5,Caribbean,British Virgin Islands,315000,2012
Leopard,44,42.5,Europe,Greece,273094,2012
Fountaine Pajot,Helia 44,43.6,Europe,France,520699,2012
Fountaine Pajot,Helia 44,43.6,Europe,Greece,449893,2012
Fountaine Pajot,Helia 44,43.6,Europe,Greece,449438,2012
Antares,44i,44.0,USA,Florida,749000,2012
Lagoon,450,45.8,Caribbean,Martinique,442581,2012
