Variant,Draft,Beam,Water,Fuel,Cabins,Displacement
Alliage 44,8.53,14.01,184.92,95.1,2.0,26400.0
Alliage AZZURO 53,9.84,15.75,200.77,177.0,3.0,35200.0
Allures 44,9.84,13.94,145.03,145.03,3.0,23100.0
Alubat CIGALE 16,8.0,16.0,66.0,244.0,3.0,25353.0
Alubat Ovni 395,6.89,13.48,113.59,66.04,3.0,22000.0
Amel 54,7.0,16.0,237.0,237.0,3.0,35000.0
Archambault 40 RC,8.14,12.3,25.89,20.08,3.0,14630.0
Azuree 40,8.5,13.85,84.54,31.7,3.0,15840.0
Azuree 46,8.53,13.94,97.74,56.8,3.0,23540.0
Bavaria 38 Cruiser,7.3,12.01,96.41999999999999,55.875,3.0,20649.2
Bavaria 39 Cruiser,6.07,12.99,95.1,54.95,3.0,18222.6
Bavaria 40 Cruiser,6.66,12.93,55.48,55.48,3.0,19093.8
Bavaria 40S Cruiser,7.55,12.96,54.95,54.95,3.0,17908.0
Bavaria 41 Cruiser,6.76,12.99,55.48,55.48,3.0,19096.0
Bavaria 42 Cruiser,5.91,13.09,95.1,54.95,3.0,20240.0
Bavaria 42 Match,8.1,12.34,79.25,39.63,3.0,18040.0
Bavaria 42 Vision,6.79,13.29,55.48,55.48,3.0,21266.666666666668
Bavaria 44 Vision,6.89,14.4,110.95,55.48,3.0,24493.333333333332
Bavaria 45 Cruiser,5.68,14.27,95.1,54.95,3.0,27720.0
Bavaria 46 Cruiser,6.89,14.27,95.1,54.95,3.0,27720.0
Bavaria 47 Cruiser,6.17,14.4,55.48,121.52,3.0,27720.0
Bavaria 49 Cruiser,5.91,14.63,211.34,92.46,5.0,27720.0
Bavaria 50 Cruiser,6.07,15.32,147.94,78.99,4.333333333333333,27720.0
Bavaria 51 Cruiser,6.07,14.73,198.13,84.01,3.666666666666667,27720.0
Bavaria 51 Cruiser Style,7.38,15.32,147.94,73.97,3.0,31020.0
Bavaria 56 Cruiser,8.08,15.58,182.28,79.25,3.0,28638.5
Bavaria C45 Holiday,6.63,14.73,171.71,66.04,3.0,26257.0
Bavaria Cruiser 46,6.89,14.27,95.1,54.95,3.0,27720.0
Bavaria Cruiser 46 Style,6.89,14.27,55.48,95.1,4.0,27720.0
Bavaria Cruiser 46S,6.89,14.27,95.1,54.95,3.75,27720.0
Bavaria Cruiser 50,6.07,15.32,147.94,78.99,3.5,27720.0
Bavaria Vision 46,7.02,13.75,128.0,46.0,3.25,27720.0
Beneteau 40,7.74,16.27,202.0,105.0,3.0,18172.0
Beneteau 41.1,5.5,13.75,174.0,53.0,3.0,16426.666666666668
Beneteau 423,5.58,12.92,143.0,53.0,2.5,14681.333333333334
Beneteau 43,5.42,13.5,95.0,53.0,2.0,12936.0
Beneteau 523,6.0,16.0,72.14,39.736666666666665,2.0,11190.666666666668
Beneteau 56,6.076666666666667,7.55,49.28,26.473333333333333,2.0,9445.333333333334
Beneteau America 50,6.153333333333333,11.15,26.42,13.21,2.0,7700.0
Beneteau Cyclades 39.3,6.23,12.96,84.54,58.12,3.0,11732.333333333334
Beneteau Cyclades 43,6.23,14.53,52.83,140.01,3.0,15764.666666666668
Beneteau Cyclades 43.3,6.25,14.5,140.0,52.0,3.0,19797.0
Beneteau Cyclades 43.4,6.3,14.42,119.75,46.82,3.0,23875.5
Beneteau Cyclades 50.5,6.3500000000000005,16.08,99.5,41.64,3.0,27954.0
Beneteau First 40,6.4,12.76,79.25,36.46,3.0,22667.0
Beneteau First 40 CR,8.04,12.76,53.0,34.0,3.0,17380.0
Beneteau First 40.7,7.75,12.25,72.0,36.0,3.0,18752.5
Beneteau First 44.7,7.193333333333333,13.08,113.0,53.0,3.0,20125.0
Beneteau First 45,6.636666666666667,13.75,151.0,53.0,3.0,22739.0
Beneteau First 47.7,6.08,14.75,163.8,62.09,3.0,25353.0
Beneteau First 50,7.87,14.47,150.05,62.61,3.0,24332.571428571428
Beneteau First 50 Sport,7.87,14.47,150.05,62.61,3.0,23312.14285714286
Beneteau Moorings 42.3,5.5,13.7,150.0,53.0,2.8333333333333335,22291.714285714286
Beneteau Moorings 43.5,6.23,14.53,148.0,53.0,2.6666666666666665,21271.285714285714
Beneteau Oceanis 38,6.82,13.09,34.34,34.34,2.5,20250.857142857145
Beneteau Oceanis 38.1,6.75,13.08,87.0,34.0,2.3333333333333335,19230.428571428572
Beneteau Oceanis 40,6.8966666666666665,12.67,190.0,53.0,2.166666666666667,18210.0
Beneteau Oceanis 41,7.043333333333334,13.67,90.0,52.0,2.0,18481.2
Beneteau Oceanis 41 Owners Version,7.19,13.78,63.4,52.83,2.5,18752.4
Beneteau Oceanis 41.1,7.055,13.75,174.0,53.0,3.0,19023.6
Beneteau Oceanis 423,6.92,12.92,308.0,53.0,3.0,19294.8
Beneteau Oceanis 43,6.5,13.42,95.0,52.0,3.5,19566.0
Beneteau Oceanis 43 Family,6.56,13.52,95.1,52.83,4.0,19899.5
Beneteau Oceanis 43.4,6.23,14.53,132.09,52.83,4.0,20233.0
Beneteau Oceanis 45,7.42,14.75,98.0,53.0,2.0,20566.5
Beneteau Oceanis 46,6.92,14.11,450.0,53.0,3.0,20900.0
Beneteau Oceanis 46 Family,6.92,13.94,390.0,52.83,3.0,23243.0
Beneteau Oceanis 46 Owner Version,6.92,13.94,330.0,57.553333333333335,3.0,23243.0
Beneteau Oceanis 46.1,6.92,14.75,270.0,62.276666666666664,3.0,22879.214285714286
Beneteau Oceanis 473,6.92,14.17,210.0,67.0,3.0,22515.428571428572
Beneteau Oceanis 48,7.08,15.58,147.0,106.0,3.0,22151.64285714286
Beneteau Oceanis 49,6.23,14.37,148.0,84.0,3.0,21787.85714285714
Beneteau Oceanis 50,5.92,14.67,149.0,62.0,3.0,21424.071428571428
Beneteau Oceanis 50 F G5,6.24,14.75,170.0,106.0,5.0,21060.285714285714
Beneteau Oceanis 50 Family,6.56,15.81,258.89,105.67,5.0,20696.5
Beneteau Oceanis 50.5,6.89,16.04,258.89,105.67,5.0,20332.714285714286
Beneteau Oceanis 51,6.593333333333333,15.75,201.0,106.0,3.0,19968.928571428572
Beneteau Oceanis 51.1,6.296666666666667,15.75,201.0,106.0,3.0,19605.14285714286
Beneteau Oceanis 523,6.0,16.0,197.33333333333334,106.0,3.0,19241.357142857145
Beneteau Oceanis 523 A,6.0,16.0,193.66666666666666,106.0,3.0,18877.571428571428
Beneteau Oceanis 54,6.3875,16.42,190.0,106.0,3.25,18513.785714285714
Beneteau Oceanis 55,6.775,16.24,400.0,105.89,3.5,18150.0
Beneteau OCEANIS 55,7.1625,16.24,400.0,105.78,3.75,18150.0
Beneteau Oceanis 55.1,7.55,16.27,264.17,105.67,4.0,19636.1
Beneteau Oceanis Clipper 423,6.89,12.8,224.085,118.83500000000001,4.0,21122.2
Beneteau Oceanis Clipper 473,7.25,14.8,184.0,132.0,4.0,22608.3
Beneteau Oceanis Clipper 523,7.71,16.01,224.55,118.88,4.0,24094.399999999998
Beneteau Sense 43,7.38,14.04,136.05,105.0,2.0,25580.5
Beneteau Sense 46,7.05,14.53,140.01,52.83,2.3333333333333335,27066.6
Beneteau Sense 50,7.25,15.92,193.0,220.0,2.6666666666666665,29649.949999999997
Beneteau Sense 51,6.08,15.92,151.0,110.0,3.0,32233.3
Beneteau Sense 55,6.484999999999999,16.33,256.0,219.0,3.0,34816.65
Bestevaer 49ST,6.89,14.44,169.07,211.34,2.0,37400.0
Bestevaer 53ST,7.55,15.22,317.01,290.59,2.0,39600.0
Boreal 44,8.14,14.4,167.75,167.75,2.0,29700.0
Boreal 47,8.14,14.4,167.75,167.75,2.0,19800.0
B-Yachts 38,7.38,9.02,26.42,26.42,2.0,9900.0
B-Yachts Brenta B42,7.87,10.17,26.42,26.42,2.0,12320.0
C&C 115,6.67,11.92,70.0,26.0,2.0,11800.0
C&C 121,6.5,13.17,80.0,55.0,2.0,19300.0
Cabo Rico 42,5.5,12.67,165.0,72.0,2.0,26800.0
Caliber 40 LRC SE,5.48,12.8,195.0,210.0,2.0,28843.933333333334
Caliber 47 LRC SE,5.315,13.17,210.035,243.56,2.0,30887.86666666667
Caliber 47LRC,5.15,13.16,225.07,277.12,2.0,32931.8
Catalina 375,4.5,13.0,97.0,40.0,2.0,16500.0
Catalina 385,6.83,13.08,100.0,40.0,2.0,17566.666666666668
Catalina 387,4.75,12.33,102.0,37.0,2.0,18633.333333333332
Catalina 400 MK II,6.75,13.5,98.0,38.0,2.0,19700.0
Catalina 42 Mk II,6.723333333333334,13.83,138.0,39.0,2.0,18966.666666666668
Catalina 42 MK II,6.696666666666666,13.83,138.0,39.0,2.0,18233.333333333332
Catalina 425,6.67,13.67,114.0,56.0,2.0,17500.0
Catalina 445,6.92,13.58,179.0,66.0,2.0,21250.0
Catalina 470,5.75,14.0,1000.0,176.0,2.0,25000.0
Catalina Morgan 440,4.92,14.0,176.0,117.0,2.0,28750.0
Catalina Morgan 440 DS Sloop,6.0,14.0,147.44,76.99,2.0,32500.0
Comar Comet 41S,7.22,12.86,118.88,36.98,2.0,36250.0
Comar Comet 450,7.87,13.78,158.5,47.55,3.0,40000.0
Comar Comet 45S,8.37,13.88,158.5,47.55,3.0,43750.0
Comar Comet 45s,8.37,13.88,158.5,47.55,3.0,47500.0
Comar Comet 51S,8.2,14.44,170.0,92.46,3.5,51250.0
Comar Comet 52 RS,7.685,16.08,126.9,71.08,4.0,55000.0
Contest 42CS,7.17,18.08,83.8,49.7,3.6666666666666665,24251.0
Contest 45CS,6.4,13.45,113.59,79.25,3.3333333333333335,22995.833333333332
Contest 50CS,7.58,16.83,185.0,185.0,3.0,21740.666666666668
Contest 55CS,8.25,16.33,159.5,187.0,3.0,20485.5
Dehler 37,5.92,11.5,70.0,32.0,3.0,19230.333333333332
Dehler 38 Competition,7.22,12.3,83.21,42.27,3.0,17975.166666666664
Dehler 39 SQ,6.5,12.63,60.76,29.06,3.0,16720.0
Dehler 41,7.05,12.8,56.795,29.06,3.0,8300.0
Dehler 41 CR,6.56,12.8,52.83,29.06,3.0,11560.0
Dehler 42,7.08,12.83,77.0,42.0,2.0,14820.0
Dehler 44,7.71,42.65,73.97,31.7,3.0,18080.0
Dehler 44 SQ,8.37,12.66,67.365,37.91,3.0,21340.0
Dehler 45,7.22,12.66,60.76,44.12,3.0,21385.0
Dehler 46,7.42,14.25,118.0,55.0,3.0,22954.166666666668
Dehler 47,7.87,13.81,103.32333333333334,92.46,2.75,24523.333333333332
Dehler 47 SQ,7.79,13.81,88.64666666666666,62.08,2.5,26092.5
Dehler Varianta 44,7.71,42.65,73.97,31.7,2.25,27661.666666666668
Delphia 40,7.17,12.92,92.0,55.0,2.0,29230.833333333336
Delphia 46 cc,7.55,14.7,158.5,105.67,2.5,30800.0
Discovery 55,15.68,13.715,126.8,79.25,3.0,26947.0
Dufour 380,6.23,12.73,95.1,52.83,3.0,23094.0
Dufour 382 GL,6.23,12.73,95.1,52.83,3.0,19241.0
Dufour 385,5.77,12.89,84.54,42.27,3.0,15388.0
Dufour 385 GL,5.77,12.89,84.54,42.27,2.0,15388.0
Dufour 390,6.25,12.67,100.39,52.83,2.3333333333333335,15565.0
Dufour 40,5.25,12.8,87.18,42.27,2.6666666666666665,17196.0
Dufour 40 Performance,6.89,12.8,95.1,52.83,3.0,9689.5
Dufour 405,6.66,13.06,100.39,52.83,3.0,2183.0
Dufour 405 GL,6.66,13.06,100.39,52.83,3.0,2183.0
Dufour 40e,6.8,12.7,100.4,52.8,3.0,17257.0
Dufour 40e Performance,6.89,12.76,100.4,52.8,3.0,19023.5
Dufour 410,6.89,13.78,100.39,52.83,3.0,20790.0
Dufour 410 GL,6.89,13.78,100.39,52.83,3.0,20790.0
Dufour 412,6.89,13.78,100.39,52.83,3.0,19709.0
Dufour 412 GL,6.83,13.67,100.39,52.83,3.0,19124.0
Dufour 425,6.07,13.58,116.0,42.0,3.3333333333333335,18539.0
Dufour 425 GL,6.07,13.58,116.0,42.0,3.6666666666666665,18539.0
Dufour 430,5.75,14.17,115.0,54.0,4.0,19179.333333333332
Dufour 430 GL,6.665,14.92,111.5,60.0,3.0,19819.666666666668
Dufour 44,7.58,14.01,108.0,66.0,3.0,20460.0
Dufour 44 Performance,8.53,13.94,63.4,23.78,3.0,21368.6
Dufour 445,7.22,14.24,150.58,66.04,3.0,22277.2
Dufour 445 GL,7.22,14.24,124.95,66.04,3.0,22721.6
Dufour 45 Performance,7.55,14.11,140.01,66.04,3.0,22663.3
Dufour 450 GL,7.22,14.27,150.05,66.04,3.0,22605.0
Dufour 450 Liberty version,6.4,14.27,150.05,66.04,3.0,22828.4
Dufour 455,19.69,45.93,146.03333333333333,65.69333333333334,3.0,23051.8
Dufour 455 GL,7.22,14.11,142.01666666666668,65.34666666666666,3.0,23275.2
Dufour 45e Performance,7.42,14.83,138.0,65.0,4.0,23498.6
Dufour 460,6.33,14.75,140.0,66.0,3.0,23722.0
Dufour 460 GL,6.33,14.83,140.0,66.0,3.0,23721.0
Dufour 460 Performance,6.33,14.83,140.0,66.0,3.0,23721.0
Dufour 485,6.89,13.62,116.24,58.12,3.0,25369.166666666668
Dufour 485 GL,6.89,13.62,116.24,58.12,3.0,27017.333333333332
Dufour 500,6.56,13.12,148.12,95.06,3.0,28665.5
Dufour 500 GL,6.33,15.67,180.0,132.0,3.0,30313.666666666668
Dufour 512 GL,6.89,15.68,190.2,132.09,5.0,31961.833333333336
Dufour 520,7.55,15.75,184.92,118.88,3.0,33610.0
Dufour 520 GL,7.55,15.75,184.92,118.88,3.0,33610.0
Dufour 520 GL Owner Version,7.55,15.75,191.52499999999998,125.485,3.0,35358.666666666664
Dufour 525 GL,7.859999999999999,16.08,198.13,132.09,3.5,37107.333333333336
Dufour 56 Exclusive,8.17,16.58,180.0,132.0,4.0,38856.0
Elan 394 Impression,5.91,12.83,126.59,43.59,3.8,20900.0
Elan 40 E5,7.87,12.7,73.18,34.87,3.6,18018.0
Elan 40 Impression,5.91,12.83,83.59,36.435,3.4,18158.0
Elan 410,8.0,12.67,94.0,38.0,3.2,18298.0
Elan 434 Impression,7.416666666666667,13.71,136.31,71.33,3.0,18140.2
Elan 444 Impression,6.833333333333333,13.0,136.31,64.065,3.0,17982.4
Elan 45 Impression,6.25,13.75,136.31,56.8,3.0,17824.6
Elan 450,6.312,14.34,144.14666666666668,63.843333333333334,4.0,17666.8
Elan 494 Impression,6.374,15.33,151.98333333333332,70.88666666666667,5.0,17509.0
Elan 50,6.436,15.35,159.82,77.93,6.0,17351.2
Elan 50 Impression,6.497999999999999,15.35,159.82,77.93,6.0,17193.4
Elan 514 IMPRESSION,6.56,13.12,845.0,105.0,3.0,17035.6
Elan GT5,6.42,12.83,256.0,39.0,2.0,16877.8
Elan Impression 384,6.23,12.83,47.55,63.4,2.25,16720.0
Elan IMPRESSION 394,5.91,12.83,63.4,43.59,2.5,20900.0
Elan Impression 40,5.91,12.83,99.85499999999999,57.46,2.75,19862.85714285714
Elan Impression 434,6.023333333333333,13.71,136.31,71.33,3.0,18825.714285714286
Elan Impression 444,6.136666666666667,13.0,136.31,64.065,3.0,17788.571428571428
Elan Impression 45,6.25,13.75,136.31,56.8,3.0,16751.428571428572
Elan Impression 494,6.655,15.33,148.065,67.36500000000001,4.5,15714.285714285714
Elan Impression 50,7.0600000000000005,15.35,159.82,77.93,6.0,14677.142857142857
Grand Soleil 37 B&C,7.465,12.07,95.0,37.0,4.5,13640.0
Grand Soleil 39,7.87,12.14,116.2,52.8,3.0,16204.0
Grand Soleil 40,7.84,12.5,95.0,48.0,3.0,15000.0
Grand Soleil 40 B&C,7.84,12.5,95.0,48.0,3.0,15000.0
Grand Soleil 43,7.55,12.96,100.465,54.510000000000005,3.0,17290.0
Grand Soleil 43 BC,8.2,12.96,105.93,61.02,3.0,19580.0
Grand Soleil 43 Maletto,7.87,13.12,95.1,58.12,3.0,20020.0
Grand Soleil 43 Maletto - GS 43,7.87,13.12,95.1,58.12,3.0,20020.0
Grand Soleil 45,7.71,13.5,106.0,60.0,3.0,20570.0
Grand Soleil 45 RACING,7.55,13.91,112.44,63.02,3.0,21120.0
Grand Soleil 46,8.37,14.07,118.88,66.04,3.0,24860.0
Grand Soleil 46 Jezequel,6.56,13.78,169.94,72.02000000000001,3.0,28600.0
Grand Soleil 46 LC,11.5,15.33,221.0,78.0,3.0,26510.0
Grand Soleil 47,8.53,14.11,176.54500000000002,118.25,3.0,24420.0
Grand Soleil 48 Ocean Cruiser,6.56,13.78,132.09,158.5,3.0,26056.6
Grand Soleil 50,7.58,15.0,122.0,77.0,3.0,27693.2
Grand Soleil 54,8.83,15.25,160.0,105.0,3.0,29329.8
Grand Soleil 56,9.35,15.85,158.5,110.95,3.0,30966.4
Grand Soleil 56 EXTREME,9.35,15.85,158.5,110.95,2.5,32603.0
Hallberg-Rassy 40,6.53,12.53,121.52,117.56,2.0,34239.6
Hallberg-Rassy 412,6.53,13.48,146.615,110.955,2.0,35876.2
Hallberg-Rassy 43,6.56,13.32,171.71,104.35,2.0,37512.8
Hallberg-Rassy 44,6.89,13.78,196.81,110.95,3.0,39149.4
Hallberg-Rassy 48,7.71,14.76,240.4,105.67,3.0,40786.0
Hallberg-Rassy 54,7.1850000000000005,15.42,186.26666666666668,84.44666666666667,3.0,35219.25
Hanse 385,6.66,12.73,132.13333333333333,63.223333333333336,3.0,29652.5
Hanse 388,5.42,12.83,78.0,42.0,2.0,24085.75
Hanse 400,6.5,13.25,79.25,36.98,3.0,18519.0
Hanse 400 Epoxy,6.5,13.25,85.86,31.7,3.0,18519.0
Hanse 400e,6.5,13.25,79.0,37.0,3.0,18739.0
Hanse 411,6.665,13.29,63.4,31.7,3.0,21341.0
Hanse 415,6.83,13.67,84.0,42.0,3.0,19621.0
Hanse 418,5.75,13.67,125.0,42.0,3.0,21605.0
Hanse 430,6.484999999999999,13.58,104.77000000000001,50.06,3.0,23810.0
Hanse 430e,7.22,13.71,84.54,58.12,3.0,24030.0
Hanse 445,7.35,14.34,450.0,220.0,3.0,24250.0
